Name,Locus_tag,StartV3,EndV3,Strand,classif
S838,S838,new_2329736_2330041_c,2329736,2330041,-1,inter
ypzG,ypzG,BSU22169,2329870,2330022,1,-
ypsC,ypsC,BSU22170,2330075,2331232,-1,-
rnpB,rnpB,BSU_misc_RNA_35,2331330,2331715,-1,-
gpsB,gpsB,BSU22180,2331779,2332075,-1,-
ypsA,ypsA,BSU22190,2332153,2332782,-1,-
cotD,cotD,BSU22200,2332784,2333011,-1,-
S839,S839,new_2333056_2333210_c,2333056,2333210,-1,5'
S840,S840,new_2333212_2333323_c,2333212,2333323,-1,inter
yprB,yprB,BSU22210,2333324,2334565,-1,-
yprA,yprA,BSU22220,2334581,2336830,-1,-
ypqE,ypqE,BSU22230,2336933,2337439,-1,-
ypqA,ypqA,BSU22240,2337577,2337996,1,-
S841,S841,new_2337997_2338147,2337997,2338147,1,3'Ext
yppG,yppG,BSU22250,2338017,2338394,-1,-
S842,S842,new_2338392_2338537,2338392,2338537,1,5'
yppF,yppF,BSU22260,2338582,2338770,1,-
yppE,yppE,BSU22270,2338809,2339180,-1,-
yppD,yppD,BSU22280,2339226,2339471,-1,-
sspM,sspM,BSU22290,2339670,2339774,1,-
yppC,yppC,BSU22300,2339799,2340761,-1,-
S843,S843,new_2339954_2340289,2339954,2340289,1,5'
S844,S844,new_2340291_2340801,2340291,2340801,1,5'
S845,S845,new_2340762_2341218_c,2340762,2341218,-1,5'
recU,recU,BSU22310,2340802,2341422,1,-
ponA,ponA,BSU22320,2341444,2344188,1,-
ypoC,ypoC,BSU22330,2344264,2344758,-1,-
nth,nth,BSU22340,2344755,2345414,-1,-
dnaD,dnaD,BSU22350,2345433,2346131,-1,-
S846,S846,new_2346132_2346223_c,2346132,2346223,-1,intra
asnS,asnS,BSU22360,2346224,2347516,-1,-
S847,S847,new_2347517_2347578_c,2347517,2347578,-1,5'
aspB,aspB,BSU22370,2347660,2348841,-1,-
ypmB,ypmB,BSU22380,2348864,2349349,-1,-
ypmA,ypmA,BSU22390,2349358,2349528,-1,-
S848,S848,new_2349529_2349600_c,2349529,2349600,-1,5'
S849,S849,new_2349590_2349664,2349590,2349664,1,indep
S850,S850,new_2349602_2349670_c,2349602,2349670,-1,inter
dinG,dinG,BSU22400,2349671,2352466,-1,-
S851,S851,new_2352467_2352591_c,2352467,2352591,-1,intra
panD,panD,BSU22410,2352592,2352975,-1,-
panC,panC,BSU22420,2352977,2353837,-1,-
panB,panB,BSU22430,2353839,2354672,-1,-
S852,S852,new_2354673_2354880_c,2354673,2354880,-1,5'
birA,birA,BSU22440,2354918,2355895,-1,-
cca,cca,BSU22450,2355880,2357073,-1,-
ypjH,ypjH,BSU22460,2357078,2358211,-1,-
ypjG,ypjG,BSU22470,2358208,2358918,-1,-
mgsA,mgsA,BSU22480,2358911,2359324,-1,-
dapB,dapB,BSU22490,2359340,2360143,-1,-
ypjD,ypjD,BSU22500,2360155,2360490,-1,-
ypjC,ypjC,BSU22510,2360630,2361502,1,-
ypjB,ypjB,BSU22520,2361544,2362338,-1,-
S853,S853,new_2362339_2362406_c,2362339,2362406,-1,intra
ypjA,ypjA,BSU22530,2362407,2362964,-1,-
S854,S854,new_2362965_2363044_c,2362965,2363044,-1,inter
qcrC,qcrC,BSU22540,2363111,2363878,-1,-
qcrB,qcrB,BSU22550,2363913,2364587,-1,-
qcrA,qcrA,BSU22560,2364589,2365092,-1,-
ypiF,ypiF,BSU22570,2365235,2365681,-1,-
ypiB,ypiB,BSU22580,2365736,2366275,-1,-
ypiA,ypiA,BSU22590,2366347,2367618,-1,-
S855,S855,new_2367619_2367686_c,2367619,2367686,-1,5'
S856,S856,new_2367761_2367905_c,2367761,2367905,-1,5'
aroE,aroE,BSU22600,2367954,2369240,-1,-
tyrA,tyrA,BSU22610,2369251,2370366,-1,-
hisC,hisC,BSU22620,2370415,2371497,-1,-
trpA,trpA,BSU22630,2371508,2372311,-1,-
trpB,trpB,BSU22640,2372304,2373506,-1,-
trpF,trpF,BSU22650,2373487,2374134,-1,-
trpC,trpC,BSU22660,2374139,2374888,-1,-
trpD,trpD,BSU22670,2374881,2375897,-1,-
trpE,trpE,BSU22680,2375869,2377416,-1,-
S857,S857,new_2377495_2377626_c,2377495,2377626,-1,indep
aroH,aroH,BSU22690,2377632,2378015,-1,-
aroB,aroB,BSU22700,2378012,2379100,-1,-
aroF,aroF,BSU22710,2379100,2380272,-1,-
cheR,cheR,BSU22720,2380347,2381117,-1,-
S858,S858,new_2381192_2381353_c,2381192,2381353,-1,3'UTR
ndk,ndk,BSU22730,2381354,2381803,-1,-
hepT,hepT,BSU22740,2381919,2382965,-1,-
menH,menH,BSU22750,2382907,2383608,-1,-
hepS,hepS,BSU22760,2383615,2384370,-1,-
S859,S859,new_2384371_2384456_c,2384371,2384456,-1,5'
mtrB,mtrB,BSU22770,2384534,2384761,-1,-
folEA,folEA,BSU22780,2384783,2385355,-1,-
S860,S860,new_2385396_2385479_c,2385396,2385479,-1,inter
hbs,hbs,BSU22790,2385543,2385821,-1,-
S861,S861,new_2385822_2386047_c,2385822,2386047,-1,5'
spoIVA,spoIVA,BSU22800,2386195,2387673,-1,-
S862,S862,new_2387674_2387835_c,2387674,2387835,-1,5'
yphF,yphF,BSU22810,2387854,2388588,-1,-
yphE,yphE,BSU22820,2388610,2388813,-1,-
S863,S863,new_2388935_2389134_c,2388935,2389134,-1,indep
gpsA,gpsA,BSU22830,2389151,2390188,-1,-
engA,engA,BSU22840,2390206,2391516,-1,-
S864,S864,new_2391517_2391641_c,2391517,2391641,-1,5'
ypzH,ypzH,BSU22849,2391670,2391864,-1,-
seaA,seaA,BSU22850,2391861,2392754,-1,-
yphA,yphA,BSU22860,2392751,2393350,-1,-
S865,S865,new_2393238_2393421,2393238,2393421,1,5'
ypzI,ypzI,BSU22869,2393422,2393559,1,-
fni,fni,BSU22870,2393602,2394651,-1,-
ypfD,ypfD,BSU22880,2394664,2395812,-1,-
S866,S866,new_2395813_2395952_c,2395813,2395952,-1,5'
S867,S867,new_2395954_2396044_c,2395954,2396044,-1,inter
cmk,cmk,BSU22890,2396045,2396719,-1,-
S868,S868,new_2396720_2396797_c,2396720,2396797,-1,intra
ypfB,ypfB,BSU22900,2396798,2396974,-1,-
ypfA,ypfA,BSU22910,2397019,2397672,-1,-
ypeB,ypeB,BSU22920,2397765,2399117,-1,-
sleB,sleB,BSU22930,2399152,2400069,-1,-
prsW,prsW,BSU22940,2400208,2400864,-1,-
ypdA,ypdA,BSU22950,2400984,2401958,-1,-
S869,S869,new_2401843_2402036,2401843,2402036,1,indep
gudB,gudB,BSU22960,2402067,2403350,-1,-
mecB,mecB,BSU22970,2403506,2404090,-1,-
S870,S870,new_2404091_2404172_c,2404091,2404172,-1,5'
ypbG,ypbG,BSU22980,2404249,2405028,-1,-
ypbF,ypbF,BSU22990,2405114,2405557,-1,-
ypbE,ypbE,BSU23000,2405620,2406342,-1,-
ypbD,ypbD,BSU23010,2406293,2406862,-1,-
S871,S871,new_2406881_2407627,2406881,2407627,1,indep-Ext
recQ,recQ,BSU23020,2406922,2408412,-1,-
ypbB,ypbB,BSU23030,2408405,2409463,-1,-
S872,S872,new_2408773_2409563,2408773,2409563,1,5'
S873,S873,new_2409565_2409634,2409565,2409634,1,5'
S874,S874,new_2409636_2409728,2409636,2409728,1,5'
fer,fer,BSU23040,2409729,2409977,1,-
fmnP,fmnP,BSU23050,2410017,2410589,-1,-
S875,S875,new_2410590_2410694_c,2410590,2410694,-1,intra
ypzE,ypzE,BSU23060,2410695,2410859,-1,-
serA,serA,BSU23070,2411086,2412663,1,-
aroC,aroC,BSU23080,2412706,2413473,-1,-
S876,S876,new_2412975_2413587,2412975,2413587,1,3'UTR
rsiX,rsiX,BSU23090,2413585,2414691,-1,-
sigX,sigX,BSU23100,2414627,2415211,-1,-
S877,S877,new_2415264_2415371,2415264,2415371,1,indep
S878,S878,new_2415356_2415414_c,2415356,2415414,-1,3'PT
resE,resE,BSU23110,2415415,2417184,-1,-
resD,resD,BSU23120,2417181,2417903,-1,-
S879,S879,new_2417904_2417983_c,2417904,2417983,-1,intra
resC,resC,BSU23130,2417984,2419159,-1,-
resB,resB,BSU23140,2419179,2420807,-1,-
resA,resA,BSU23150,2420804,2421343,-1,-
S880,S880,new_2421344_2421437_c,2421344,2421437,-1,intra
rluB,rluB,BSU23160,2421438,2422172,-1,-
spmB,spmB,BSU23170,2422264,2422800,-1,-
spmA,spmA,BSU23180,2422805,2423395,-1,-
dacB,dacB,BSU23190,2423383,2424531,-1,-
ypuI,ypuI,BSU23200,2424654,2425193,-1,-
spcB,spcB,BSU23210,2425248,2425841,-1,-
scpA,scpA,BSU23220,2425831,2426586,-1,-
ypuF,ypuF,BSU23230,2426867,2427391,1,-
ypzK,ypzK,BSU23240,2427405,2427779,-1,-
ribH,ribH,BSU23250,2427892,2428356,-1,-
ribAB,ribAB,BSU23260,2428389,2429585,-1,-
ribE,ribE,BSU23270,2429600,2430247,-1,-
ribD,ribD,BSU23280,2430258,2431343,-1,-
S881,S881,new_2431344_2431472_c,2431344,2431472,-1,intra
X.28,NA,BSU_misc_RNA_36,2431473,2431617,-1,-
ypuD,ypuD,BSU23300,2431737,2432081,-1,-
S882,S882,new_2432160_2433082,2432160,2433082,1,indep-Ext
S883,S883,new_2432172_2432238_c,2432172,2432238,-1,5'
sipS,sipS,BSU23310,2432316,2432870,-1,-
S884,S884,new_2432916_2433315_c,2432916,2433315,-1,inter
ypzC,ypzC,BSU23320,2433137,2433373,1,-
ypzJ,ypzJ,BSU23328,2433316,2433522,-1,-
ypuC,ypuC,BSU23329,2433631,2433885,-1,-
S885,S885,new_2433788_2434859,2433788,2434859,1,indep
ypuC.1,ypuC,BSU23330,2433878,2434165,-1,-
ypuB,ypuB,BSU23340,2434143,2434346,-1,-
ypzD,ypzD,BSU23350,2435012,2435224,1,-
ppiB,ppiB,BSU23360,2435360,2435791,-1,-
S886,S886,new_2435792_2435878_c,2435792,2435878,-1,5'
S887,S887,new_2435947_2436044,2435947,2436044,1,5'
ypuA,ypuA,BSU23370,2436045,2436917,1,-
lysA,lysA,BSU23380,2436947,2438266,-1,-
S888,S888,new_2438267_2438331_c,2438267,2438331,-1,5'
spoVAF,spoVAF,BSU23390,2438372,2439853,-1,-
spoVAEA,spoVAEA,BSU23401,2439804,2440415,-1,-
spoVAEB,spoVAEB,BSU23402,2440423,2440773,-1,-
spoVAD,spoVAD,BSU23410,2440775,2441791,-1,-
spoVAC,spoVAC,BSU23420,2441804,2442256,-1,-
spoVAB,spoVAB,BSU23430,2442269,2442694,-1,-
spoVAA,spoVAA,BSU23440,2442684,2443304,-1,-
sigF,sigF,BSU23450,2443429,2444196,-1,-
spoIIAB,spoIIAB,BSU23460,2444208,2444648,-1,-
spoIIAA,spoIIAA,BSU23470,2444645,2444998,-1,-
S889,S889,new_2445036_2445093_c,2445036,2445093,-1,inter
dacF,dacF,BSU23480,2445094,2446263,-1,-
pupG,pupG,BSU23490,2446418,2447233,-1,-
drm,drm,BSU23500,2447246,2448430,-1,-
S890,S890,new_2448499_2448590_c,2448499,2448590,-1,inter
ripX,ripX,BSU23510,2448591,2449481,-1,-
yqzK,yqzK,BSU23519,2449489,2449716,-1,-
fur,fur,BSU23520,2449841,2450290,-1,-
S891,S891,new_2450326_2450402_c,2450326,2450402,-1,inter
spoIIM,spoIIM,BSU23530,2450403,2451047,-1,-
yqkK,yqkK,BSU23540,2451148,2451363,-1,-
mleA,mleA,BSU23550,2451463,2452782,-1,-
mleN,mleN,BSU23560,2452800,2454206,-1,-
S892,S892,new_2454265_2454346_c,2454265,2454346,-1,inter
ansB,ansB,BSU23570,2454347,2455774,-1,-
ansA,ansA,BSU23580,2455819,2456808,-1,-
S893,S893,new_2456809_2456888_c,2456809,2456888,-1,5'
S894,S894,new_2456890_2457210_c,2456890,2457210,-1,inter
ansR,ansR,BSU23590,2456990,2457340,1,-
S895,S895,new_2457212_2457348_c,2457212,2457348,-1,3'UTR
yqxK,yqxK,BSU23600,2457349,2458512,-1,-
nudF,nudF,BSU23610,2458509,2459066,-1,-
S896,S896,new_2459114_2459288,2459114,2459288,1,5'
yqkF,yqkF,BSU23620,2459326,2460246,1,-
yqkE,yqkE,BSU23630,2460278,2460502,-1,-
yqkD,yqkD,BSU23640,2460664,2461581,1,-
yqkC,yqkC,BSU23650,2461621,2461860,-1,-
yqkB,yqkB,BSU23660,2461873,2462196,-1,-
yqkA,yqkA,BSU23670,2462193,2463224,-1,-
yqjZ,yqjZ,BSU23680,2463217,2463561,-1,-
yqjY,yqjY,BSU23690,2463571,2464041,-1,-
S897,S897,new_2464042_2464118_c,2464042,2464118,-1,5'
S898,S898,new_2464120_2464226_c,2464120,2464226,-1,inter
yqjX,yqjX,BSU23700,2464227,2464565,-1,-
polYB,polYB,BSU23710,2464562,2465800,-1,-
yqzH,yqzH,BSU23720,2465966,2466172,1,-
yqjV,yqjV,BSU23730,2466721,2467953,1,-
yqjU,yqjU,BSU23740,2467971,2468162,1,-
S899,S899,new_2467979_2468158_c,2467979,2468158,-1,3'UTR
yqjT,yqjT,BSU23750,2468159,2468545,-1,-
coaA,coaA,BSU23760,2468549,2469508,-1,-
S900,S900,new_2469509_2469579_c,2469509,2469579,-1,intra
dsdA,dsdA,BSU23770,2469580,2470926,-1,-
S901,S901,new_2470927_2471001_c,2470927,2471001,-1,intra
yqjQ,yqjQ,BSU23780,2471002,2471781,-1,-
yqjP,yqjP,BSU23790,2471787,2472746,-1,-
S902,S902,new_2472864_2473150,2472864,2473150,1,5'
proI,proI,BSU23800,2473151,2473987,1,-
yqjN,yqjN,BSU23810,2474028,2475671,-1,-
yqjM,yqjM,BSU23820,2475843,2476859,1,-
yqjL,yqjL,BSU23830,2476969,2477730,1,-
S903,S903,new_2477758_2477958_c,2477758,2477958,-1,indep
rnz,rnz,BSU23840,2478006,2478929,-1,-
S904,S904,new_2479090_2479155,2479090,2479155,1,5'
zwf,zwf,BSU23850,2479156,2480625,1,-
gndA,gndA,BSU23860,2480750,2482159,-1,-
polYA,polYA,BSU23870,2482269,2483513,-1,-
S905,S905,new_2483514_2483788_c,2483514,2483788,-1,5'
yqzJ,yqzJ,BSU23880,2483586,2483873,1,-
oxaAB,oxaAB,BSU23890,2483904,2484731,1,-
S906,S906,new_2484736_2485656_c,2484736,2485656,-1,3'UTR
yqjF,yqjF,BSU23900,2484911,2485639,1,-
yqjE,yqjE,BSU23910,2485680,2486795,-1,-
yqjD,yqjD,BSU23920,2486813,2488336,-1,-
yqjC,yqjC,BSU23930,2488329,2488751,-1,-
S907,S907,new_2488815_2488968,2488815,2488968,1,indep
yqjB,yqjB,BSU23940,2488953,2489483,-1,-
S908,S908,new_2488970_2489605,2488970,2489605,1,3'PT
yqjA,yqjA,BSU23950,2489535,2490503,-1,-
artR,artR,BSU23960,2490574,2491296,-1,-
artQ,artQ,BSU23970,2491289,2491948,-1,-
S909,S909,new_2491949_2492028_c,2491949,2492028,-1,intra
artP,artP,BSU23980,2492029,2492796,-1,-
yqiW,yqiW,BSU23990,2493064,2493501,-1,-
bmrU,bmrU,BSU24000,2493662,2494555,1,-
bmr,bmr,BSU24010,2494656,2495825,1,-
bmrR,bmrR,BSU24020,2495898,2496734,1,-
bkdB,bkdB,BSU24030,2496796,2498070,-1,-
bkdAB,bkdAB,BSU24040,2498093,2499076,-1,-
bkdAA,bkdAA,BSU24050,2499090,2500082,-1,-
lpdV,lpdV,BSU24060,2500104,2501528,-1,-
buk,buk,BSU24070,2501549,2502640,-1,-
bcd,bcd,BSU24080,2502659,2503753,-1,-
ptb,ptb,BSU24090,2503765,2504664,-1,-
S910,S910,new_2504707_2504788_c,2504707,2504788,-1,inter
bkdR,bkdR,BSU24100,2504789,2506867,-1,-
yqzF,yqzF,BSU24110,2507020,2507256,1,-
prpB,prpB,BSU24120,2507298,2508203,-1,-
prpD,prpD,BSU24130,2508221,2509639,-1,-
prpC.1,prpC,BSU24140,2509654,2510772,-1,-
mmgC,mmgC,BSU24150,2510806,2511945,-1,-
mmgB,mmgB,BSU24160,2511973,2512836,-1,-
mmgA,mmgA,BSU24170,2512861,2514042,-1,-
yqiK,yqiK,BSU24180,2514169,2514900,-1,-
yqiI,yqiI,BSU24190,2514979,2515599,-1,-
yqiH,yqiH,BSU24200,2515614,2515907,-1,-
S911,S911,new_2516201_2516406,2516201,2516406,1,5'
yqiG,yqiG,BSU24210,2516440,2517558,1,-
S912,S912,new_2517585_2517755_c,2517585,2517755,-1,indep
S913,S913,new_2517757_2517885_c,2517757,2517885,-1,5'
spo0A,spo0A,BSU24220,2518023,2518826,-1,-
S914,S914,new_2518877_2519029_c,2518877,2519029,-1,5'
spoIVB,spoIVB,BSU24230,2519102,2520382,-1,-
recN,recN,BSU24240,2520557,2522287,-1,-
ahrC,ahrC,BSU24250,2522324,2522773,-1,-
S915,S915,new_2522774_2522859_c,2522774,2522859,-1,inter
yqxC,yqxC,BSU24260,2522871,2523716,-1,-
dxs,dxs,BSU24270,2523713,2525614,-1,-
S916,S916,new_2525615_2525743_c,2525615,2525743,-1,5'
ispA.1,ispA,BSU24280,2525789,2526679,-1,-
xseB,xseB,BSU24290,2526669,2526923,-1,-
xseA,xseA,BSU24300,2526920,2528266,-1,-
S917,S917,new_2528267_2528403_c,2528267,2528403,-1,intra
folD,folD,BSU24310,2528404,2529255,-1,-
nusB,nusB,BSU24320,2529267,2529662,-1,-
S918,S918,new_2529726_2529888_c,2529726,2529888,-1,inter
yqhY,yqhY,BSU24330,2529926,2530333,-1,-
accC,accC,BSU24340,2530354,2531706,-1,-
accB,accB,BSU24350,2531718,2532197,-1,-
spoIIIAH,spoIIIAH,BSU24360,2532353,2533009,-1,-
spoIIIAG,spoIIIAG,BSU24370,2533010,2533699,-1,-
spoIIIAF,spoIIIAF,BSU24380,2533692,2534312,-1,-
spoIIIAE,spoIIIAE,BSU24390,2534326,2535525,-1,-
spoIIIAD,spoIIIAD,BSU24400,2535544,2535945,-1,-
spoIIIAC,spoIIIAC,BSU24410,2535952,2536158,-1,-
spoIIIAB,spoIIIAB,BSU24420,2536181,2536696,-1,-
spoIIIAA,spoIIIAA,BSU24430,2536690,2537613,-1,-
S919,S919,new_2537614_2537688_c,2537614,2537688,-1,intra
yqhV,yqhV,BSU24440,2537689,2537970,-1,-
efp,efp,BSU24450,2538115,2538672,-1,-
yqhT,yqhT,BSU24460,2538697,2539758,-1,-
yqhS,yqhS,BSU24470,2539755,2540201,-1,-
yqhR,yqhR,BSU24480,2540288,2540824,-1,-
yqhQ,yqhQ,BSU24490,2541051,2542007,1,-
yqhP,yqhP,BSU24500,2542047,2542442,1,-
yqhO,yqhO,BSU24510,2542439,2543314,-1,-
mntR,mntR,BSU24520,2543440,2543868,-1,-
yqhM,yqhM,BSU24530,2543968,2544804,-1,-
S920,S920,new_2544841_2545385_c,2544841,2545385,-1,inter
S921,S921,new_2544915_2544994,2544915,2544994,1,5'
yqhL,yqhL,BSU24540,2544995,2545375,1,-
gcvPB,gcvPB,BSU24550,2545410,2546876,-1,-
gcvPA,gcvPA,BSU24560,2546869,2548215,-1,-
gcvT,gcvT,BSU24570,2548245,2549333,-1,-
X.29,NA,BSU_misc_RNA_38,2549505,2549606,-1,-
S922,S922,new_2549607_2549677_c,2549607,2549677,-1,5'
S923,S923,new_2549645_2549774,2549645,2549774,1,5'
yqhH,yqhH,BSU24580,2549775,2551448,1,-
yqhG,yqhG,BSU24590,2551469,2552263,1,-
S924,S924,new_2552307_2552445,2552307,2552445,1,5'
sinI,sinI,BSU24600,2552446,2552619,1,-
sinR,sinR,BSU24610,2552653,2552988,1,-
tasA,tasA,BSU24620,2553081,2553866,-1,-
sipW,sipW,BSU24630,2553930,2554502,-1,-
yqxM,yqxM,BSU24640,2554486,2555247,-1,-
yqzG,yqzG,BSU24650,2555519,2555845,1,-
S925,S925,new_2555662_2555886_c,2555662,2555886,-1,3'UTR
yqzE,yqzE,BSU24660,2555887,2556066,-1,-
comGG,comGG,BSU24670,2556137,2556511,-1,-
comGF,comGF,BSU24680,2556512,2556895,-1,-
comGE,comGE,BSU24690,2556921,2557268,-1,-
comGD,comGD,BSU24700,2557252,2557683,-1,-
comGC,comGC,BSU24710,2557673,2557969,-1,-
comGB,comGB,BSU24720,2557983,2558954,-1,-
comGA,comGA,BSU24730,2559007,2560077,-1,-
S926,S926,new_2560260_2560488_c,2560260,2560488,-1,3'UTR
yqxL,yqxL,BSU24740,2560489,2561442,-1,-
yqhB,yqhB,BSU24750,2561585,2562913,1,-
S927,S927,new_2562914_2563888,2562914,2563888,1,3'PT
rsbRD,rsbRD,BSU24760,2562966,2563802,-1,-
S928,S928,new_2563803_2563987_c,2563803,2563987,-1,inter
mgsR,mgsR,BSU24770,2564026,2564406,-1,-
yqgY,yqgY,BSU24780,2564638,2564883,1,-
S929,S929,new_2564914_2565669,2564914,2565669,1,inter
yqgX,yqgX,BSU24790,2564923,2565558,-1,-
yqgW,yqgW,BSU24800,2565715,2565888,1,-
yqgV,yqgV,BSU24810,2565920,2566234,-1,-
S930,S930,new_2565921_2566988,2565921,2566988,1,3'PT
yqgU,yqgU,BSU24820,2566237,2567298,-1,-
yqgT,yqgT,BSU24830,2567360,2568490,-1,-
yqgS,yqgS,BSU24840,2568573,2570489,-1,-
S931,S931,new_2569624_2570653,2569624,2570653,1,indep-Ext
S932,S932,new_2570490_2570556_c,2570490,2570556,-1,5'
glcK,glcK,BSU24850,2570606,2571571,-1,-
yqgQ,yqgQ,BSU24860,2571582,2571797,-1,-
S933,S933,new_2571798_2571906_c,2571798,2571906,-1,intra
glpG,glpG,BSU24870,2571907,2573430,-1,-
yqgO,yqgO,BSU24880,2573520,2573693,-1,-
yqgN,yqgN,BSU24890,2573760,2574323,-1,-
S934,S934,new_2574324_2574407_c,2574324,2574407,-1,inter
rpmGA,rpmGA,BSU24900,2574408,2574557,-1,-
yqgM,yqgM,BSU24910,2574641,2575720,-1,-
yqgL,yqgL,BSU24920,2575717,2576187,-1,-
S935,S935,new_2576155_2576328,2576155,2576328,1,5'
yqzD,yqzD,BSU24930,2576367,2576720,1,-
yqzC,yqzC,BSU24940,2576717,2577181,1,-
pstBB,pstBB,BSU24950,2577210,2577992,-1,-
pstBA,pstBA,BSU24960,2578003,2578812,-1,-
pstA,pstA,BSU24970,2578833,2579717,-1,-
pstC,pstC,BSU24980,2579717,2580646,-1,-
pstS,pstS,BSU24990,2580715,2581617,-1,-
pbpA,pbpA,BSU25000,2581771,2583921,-1,-
yqgE,yqgE,BSU25010,2584035,2585327,-1,-
sodA,sodA,BSU25020,2585434,2586042,-1,-
S936,S936,new_2586107_2586175_c,2586107,2586175,-1,5'
yqgC,yqgC,BSU25030,2586221,2586703,-1,-
S937,S937,new_2586704_2586996_c,2586704,2586996,-1,5'
yqgB,yqgB,BSU25040,2586813,2587580,1,-
S938,S938,new_2586998_2587934_c,2586998,2587934,-1,inter
S939,S939,new_2587581_2588011,2587581,2588011,1,3'UTR
yqgA,yqgA,BSU25050,2587996,2588424,-1,-
yqfZ,yqfZ,BSU25060,2588701,2589000,1,-
S940,S940,new_2589046_2589122,2589046,2589122,1,5'
ispG,ispG,BSU25070,2589123,2590256,1,-
yqfX,yqfX,BSU25080,2590282,2590671,-1,-
yqfW,yqfW,BSU25090,2590804,2591385,1,-
zur,zur,BSU25100,2591428,2591865,-1,-
S941,S941,new_2591428_2592036,2591428,2592036,1,3'PT
S942,S942,new_2591866_2591960_c,2591866,2591960,-1,5'
yqfU,yqfU,BSU25110,2592003,2592884,-1,-
S943,S943,new_2592930_2593257_c,2592930,2593257,-1,inter
yqfT,yqfT,BSU25120,2593000,2593254,1,-
nfo,nfo,BSU25130,2593281,2594174,-1,-
S944,S944,new_2593286_2594087,2593286,2594087,1,3'PT
cshB,cshB,BSU25140,2594184,2595500,-1,-
yqfQ,yqfQ,BSU25150,2595669,2596412,1,-
S945,S945,new_2596439_2596534,2596439,2596534,1,inter
ispH,ispH,BSU25160,2596535,2597479,1,-
yqfO,yqfO,BSU25170,2597502,2598623,-1,-
trmK,trmK,BSU25180,2598616,2599266,-1,-
S946,S946,new_2599267_2599375_c,2599267,2599375,-1,5'
S947,S947,new_2599377_2599490_c,2599377,2599490,-1,inter
cccA,cccA,BSU25190,2599523,2599885,-1,-
S948,S948,new_2599926_2600047_c,2599926,2600047,-1,5'
S949,S949,new_2600049_2600188_c,2600049,2600188,-1,inter
S950,S950,new_2600050_2600154,2600050,2600154,1,5'
S951,S951,new_2600156_2602305,2600156,2602305,1,indep-Ext
sigA,sigA,BSU25200,2600214,2601329,-1,-
S952,S952,new_2601330_2601527_c,2601330,2601527,-1,intra
dnaG,dnaG,BSU25210,2601528,2603339,-1,-
antE,antE,BSU25220,2602979,2603275,1,-
yqxD,yqxD,BSU25230,2603373,2603867,-1,-
S953,S953,new_2603868_2603981_c,2603868,2603981,-1,5'
S954,S954,new_2603983_2604060_c,2603983,2604060,-1,5'
yqfL,yqfL,BSU25240,2604121,2604933,-1,-
ccpN,ccpN,BSU25250,2604959,2605597,-1,-
S955,S955,new_2605598_2605729_c,2605598,2605729,-1,5'
glyS,glyS,BSU25260,2605730,2607769,-1,-
glyQ,glyQ,BSU25270,2607762,2608649,-1,-
X.30,NA,BSU_misc_RNA_39,2608732,2608906,-1,-
S956,S956,new_2608912_2610324,2608912,2610324,1,indep-Ext
recO,recO,BSU25280,2608946,2609713,-1,-
yqzL,yqzL,BSU25289,2609750,2609893,-1,-
S957,S957,new_2609894_2610040_c,2609894,2610040,-1,intra
era,era,BSU25290,2610041,2610946,-1,-
cdd,cdd,BSU25300,2610927,2611337,-1,-
S958,S958,new_2611388_2611455_c,2611388,2611455,-1,inter
dgkA,dgkA,BSU25310,2611456,2611827,-1,-
yqfG,yqfG,BSU25320,2611808,2612281,-1,-
yqfF,yqfF,BSU25330,2612282,2614417,-1,-
phoH,phoH,BSU25340,2614496,2615455,-1,-
yqfD,yqfD,BSU25350,2615452,2616648,-1,-
yqfC,yqfC,BSU25360,2616667,2616948,-1,-
yqfB,yqfB,BSU25370,2617005,2617424,-1,-
yqfA,yqfA,BSU25380,2617449,2618444,-1,-
yqeZ,yqeZ,BSU25390,2618466,2619779,-1,-
yqeY,yqeY,BSU25400,2619910,2620356,-1,-
rpsU,rpsU,BSU25410,2620371,2620544,-1,-
yqeW,yqeW,BSU25420,2620717,2621640,1,-
rimO,rimO,BSU25430,2621677,2623032,-1,-
rsmE,rsmE,BSU25440,2623032,2623802,-1,-
prmA,prmA,BSU25450,2623825,2624760,-1,-
dnaJ,dnaJ,BSU25460,2624785,2625912,-1,-
S959,S959,new_2625913_2626090_c,2625913,2626090,-1,inter
dnaK,dnaK,BSU25470,2626112,2627947,-1,-
grpE,grpE,BSU25480,2627971,2628534,-1,-
S960,S960,new_2628535_2628605_c,2628535,2628605,-1,intra
hrcA,hrcA,BSU25490,2628606,2629637,-1,-
hemN,hemN,BSU25500,2629718,2630857,-1,-
lepA,lepA,BSU25510,2630910,2632748,-1,-
yqxA,yqxA,BSU25520,2632882,2633220,-1,-
spoIIP,spoIIP,BSU25530,2633237,2634442,-1,-
gpr,gpr,BSU25540,2634505,2635611,-1,-
S961,S961,new_2635740_2635814,2635740,2635814,1,5'
rpsT,rpsT,BSU25550,2635815,2636081,1,-
holA,holA,BSU25560,2636096,2637139,-1,-
S962,S962,new_2637203_2637542_c,2637203,2637542,-1,indep
yqzM,yqzM,BSU25569,2637369,2637503,1,-
comEC,comEC,BSU25570,2637543,2639873,-1,-
comEB,comEB,BSU25580,2639877,2640446,-1,-
comEA,comEA,BSU25590,2640513,2641130,-1,-
