source	target	sign	mechanism
hutP	hutH	1	P-AT+M
codY	hutH	-1	TF+M
ccpA	hutH	-1	TF+PP+M
sigF	arsC	1	sigma factor
sigA	arsC	1	sigma factor
arsR	arsC	-1	TF+M
sigF	yhfM	1	sigma factor
sigA	epsF	1	sigma factor
sigH	epsF	1	sigma factor
sinR	epsF	-1	TF
eAR	epsF	0	RNA antiterminator
abrB	epsF	-1	TF
yvrHb	bdbA	1	TF+TC
rok	bdbA	-1	TF
abrB	bdbA	-1	TF
abh	bdbA	1	TF
sigK	cotM	1	sigma factor
sigE	cotM	1	sigma factor
gerE	cotM	-1	TF
sigG	spoIVB	1	sigma factor
sigF	spoIVB	1	sigma factor
spoVT	spoIVB	1	TF
spoIIID	spoIVB	1	TF
lacR	ganA	-1	TF+M
ccpA	ganA	0	TF+PP+M
sigG	yczF	1	sigma factor
yvrHb	wprA	1	TF+TC
ccpA	wprA	-1	TF+PP+M
sigA	sigH	1	sigma factor
abrB	sigH	-1	TF
sigA	treR	1	sigma factor
treR	treR	-1	TF+M
phoP	treR	1	TF+TC
ccpA	treR	-1	TF+PP+M
zur	yrpE	0	TF+M
sigD	flgE	1	sigma factor
sigA	flgE	1	sigma factor
spo0A	flgE	-1	TF+PP
codY	flgE	-1	TF+M
sigK	cotS	1	sigma factor
sigD	cheC	1	sigma factor
sigA	cheC	1	sigma factor
spo0A	cheC	-1	TF+PP
codY	cheC	-1	TF+M
sigE	yhfO	1	sigma factor
spoIIID	yhfO	-1	TF
sigA	metS	1	sigma factor
spo0A	metS	-1	TF+PP
sigY	yxlG	1	sigma factor
sigA	comGF	1	sigma factor
comK	comGF	1	TF
comZ	comGF	-1	TF
scoC	appA	-1	TF
codY	appA	-1	TF+M
tnrA	appA	0	TF+P+M
stringent response	adk	-1	unk
sigK	ymaG	1	sigma factor
xpf	xtmA	1	sigma factor
sigA	yhcZ	1	sigma factor
sigE	yhcZ	1	sigma factor
liaR	yhcZ	1	TF+TC
sigA	skfA	1	sigma factor
spo0A	skfA	1	TF+PP
phoP	skfA	1	TF+TC
abrB	skfA	-1	TF
tnrA	oppC	1	TF+P+M
scoC	oppC	-1	TF
codY	oppC	0	TF+M
lexA	yqzH	-1	TF-proteolyse
ccpA	glcF	0	TF+PP+M
sigB	ydaE	1	sigma factor
codY	ypmP	-1	TF+M
ytcD	ytbE	0	silico-TF+unk
sigE	ylbK	1	sigma factor
spoIIID	ylbK	-1	TF
sigA	amyE	1	sigma factor
ccpA	amyE	-1	TF+PP+M
abrB	amyE	1	TF
degU	amyE	1	TF+TC
sigX	pssA	1	sigma factor
sigA	pssA	1	sigma factor
sigG	tlp	1	sigma factor
sigF	tlp	1	sigma factor
codY	ybbE	0	TF+M
murR	ybbE	0	silico-TF+M
hisR	hisH	0	silico-TF+M
lexA	dinB	-1	TF-proteolyse
sigA	tyrA	1	sigma factor
TRAP	tyrA	-1	RNA-BAP
sigA	albA	1	sigma factor
rok	albA	-1	TF
resD	albA	1	TF+TC
abrB	albA	-1	TF
sigA	fadF	1	sigma factor
fadR	fadF	-1	TF+M
sigA	purQ	1	sigma factor
purR	purQ	-1	TF+M
G-box-HXTX	purQ	1	riboswitch
G-box-GUA	purQ	1	riboswitch
lexA	uvrB	-1	TF-proteolyse
sigA	ysxC	1	sigma factor
ctsR	ysxC	-1	TF+unstability
sigX	yceD	1	sigma factor
sigW	yceD	1	sigma factor
sigM	yceD	1	sigma factor
sigB	yceD	1	sigma factor
sigA	yceD	1	sigma factor
sigA	tuaD	1	sigma factor
phoP	tuaD	1	TF+TC
sigE	ydhD	1	sigma factor
sigG	ybdM	1	sigma factor
sigA	mtrB	1	sigma factor
sigA	phoA	1	sigma factor
sigG	phoA	1	sigma factor
phoP	phoA	1	TF+TC
tenA	phoA	1	unk
codY	phoA	0	TF+M
sigA	araB	1	sigma factor
ccpA	araB	-1	TF+PP+M
araR	araB	-1	TF+M
sigE	sodF	1	sigma factor
sigW	ybfQ	1	sigma factor
degU	yuaB	1	TF+TC
abrB	yuaB	-1	TF
sigA	rapB	1	sigma factor
sigA	licR	1	sigma factor
sigK	yjcZ	1	sigma factor
gerE	yjcZ	1	TF
sigD	hag	1	sigma factor
scoC	hag	-1	TF
csrA	hag	-1	RNA switch
codY	hag	-1	TF+M
sigE	yesJ	1	sigma factor
spoIIID	yesJ	1	TF
yrkP	psiE	1	TF+TC
codY	ylmA	-1	TF+M
sigA	citB	1	sigma factor
fsrA	citB	-1	small regulatory RNA
codY	citB	-1	TF+M
ccpC	citB	-1	 TF+M+DNA
ccpA	citB	-1	TF+PP+M
tnrA	citB	1	TF+P+M
abrB	citB	1	TF
sigA	rapG	1	sigma factor
sigH	rapG	1	sigma factor
sinR	rapG	-1	TF
rghR	rapG	-1	TF
sigD	lytB	1	sigma factor
sigA	lytB	1	sigma factor
yvrHb	lytB	-1	TF+TC
slrR	lytB	-1	TF
lytR	lytB	-1	TF
spo0A	ftsX	-1	TF+PP
spo0A	yvhJ	-1	TF+PP
sigA	mtnK	1	sigma factor
S-box-SAM	mtnK	-1	
sigE	alrB	1	sigma factor
manR	manA	1	TF+PTS
sigA	infC	1	sigma factor
stringent response	infC	-1	unk
rplT	infC	-1	RNA switch
sigA	hmp	1	sigma factor
resD	hmp	1	TF+TC
nsrR	hmp	-1	TF+M
arfM	hmp	1	TF
spoVT	hmp	1	TF
sigW	yjoB	1	sigma factor
sigA	yydH	1	sigma factor
rok	yydH	-1	TF
abrB	yydH	-1	TF
sigA	ggaA	1	sigma factor
sigM	ypuA	1	sigma factor
sigB	ydaT	1	sigma factor
sigK	yfnE	1	sigma factor
sigE	yfnE	1	sigma factor
gerR	yfnE	-1	TF
abrB	yjcM	-1	TF
spo0A	yjcM	1	TF+PP
bceR	bceB	1	TF+TC
sigA	glnT	1	sigma factor
glnL	glnT	1	TF+TC
ccpA	glnT	0	TF+PP+M
sigA	ccpA	1	sigma factor
abrB	ppsA	-1	TF
sigA	ytmI	1	sigma factor
ytlI	ytmI	1	TF+M
cymR	ytmI	-1	TF+P+M
spx	ytmI	-1	TF+S
stringent response	atpA	-1	unk
sigK	ykzH	1	sigma factor
sigW	ydbS	1	sigma factor
phoP	tatAD	1	TF+TC
sigX	ywnJ	1	sigma factor
sigW	ywnJ	1	sigma factor
sigM	ywnJ	1	sigma factor
sigF	ywnJ	1	sigma factor
spo0A	accD	1	TF+PP
yesS	yesU	1	TF+P+unk
ccpA	yesU	0	TF+PP+M
sigD	mcpB	1	sigma factor
sigK	yitB	1	sigma factor
sigA	pbpD	1	sigma factor
codY	pbpD	0	TF+M
sigA	abrB	1	sigma factor
spo0A	abrB	-1	TF+PP
abrB	abrB	-1	TF
sigA	pyrD	1	sigma factor
pyrR	pyrD	1	P-AT+M
purR	pyrD	-1	TF+M
sigB	yqhB	1	sigma factor
lexA	yqhB	-1	TF-proteolyse
sigB	yjgC	1	sigma factor
sigA	cysS	1	sigma factor
T-box-CYS	cysS	1	RNA switch
sigK	cotF	1	sigma factor
sigE	cotF	1	sigma factor
spoIIID	cotF	1	TF
abrB	yweA	-1	TF
sigE	yqfD	1	sigma factor
spoIIID	yqfD	-1	TF
comA	yvfH	1	TF+TC
lutR	yvfH	0	TF+M
sigB	ypuC.1	1	sigma factor
ywrC	ywrB	0	silico-TF+unk
sigA	cydB	1	sigma factor
rex	cydB	-1	TF+M
resD	cydB	1	TF+TC
ccpA	cydB	-1	TF+PP+M
comA	ywhH	1	TF+TC
sigA	malP	1	sigma factor
glvR	malP	1	TF+M
ccpA	malP	-1	TF+PP+M
malR	malP	1	TF+TC
sigA	ilvB	1	sigma factor
tnrA	ilvB	-1	TF+P+M
codY	ilvB	-1	TF+M
ccpA	ilvB	1	TF+PP+M
T-box-LEU	ilvB	1	RNA switch
lutR	yvfI	0	TF+M
ccpA	yvfI	0	TF+PP+M
fur	fhuC	-1	TF+M
sigE	yslB	1	sigma factor
sigG	yhcG	1	sigma factor
comK	yhcG	1	TF
gabR	yhcG	0	TF+M
stringent response	rplL	-1	unk
rplJ	rplL	0	silico-RNA switch
sigA	tagF	1	sigma factor
walR	tagF	1	TF+TC
phoP	tagF	-1	TF+TC
abrB	ppsD	-1	TF
fur	yfmF	-1	TF+M
stringent response	tufA	-1	unk
sigA	sigX	1	sigma factor
yvrHb	sigX	1	TF+TC
sigA	pyrAA	1	sigma factor
pyrR	pyrAA	1	P-AT+M
purR	pyrAA	-1	TF+M
xpf	xkdE	1	sigma factor
abrB	ppsB	-1	TF
sigD	ylxF	1	sigma factor
sigA	ylxF	1	sigma factor
spo0A	ylxF	-1	TF+PP
codY	ylxF	-1	TF+M
sigA	citR	1	sigma factor
codY	citR	0	TF+M
citR	citR	0	TF+M
stringent response	rpsC	-1	unk
sigF	yabT	1	sigma factor
sigA	licA	1	sigma factor
licR	licA	1	TF+PTS
ccpA	licA	-1	TF+PP+M
rbsR	licA	0	silico-TF+M
sigD	lytF	1	sigma factor
slrR	lytF	-1	TF
sigB	ykgA	1	sigma factor
hisR	hisZ	0	silico-TF+M
stringent response	atpH	-1	unk
sigV	oatA	1	sigma factor
birA	bioYB	0	TF+P+M
abrB	yheJ	-1	TF
sigK	yppG	1	sigma factor
sigA	pdhD	1	sigma factor
stringent response	pdhD	-1	unk
sigA	glpQ	1	sigma factor
phoP	glpQ	1	TF+TC
glpP	glpQ	1	P-AT+PTS
ccpA	glpQ	-1	TF+PP+M
sigH	spoVG	1	sigma factor
sinR	spoVG	-1	TF
abrB	spoVG	-1	TF
codY	spoVG	0	TF+M
sigA	speB	1	sigma factor
dnaA	ywlC	-1	TF
sigH	yesL	1	sigma factor
sigK	mdxR	1	sigma factor
sigA	comGB	1	sigma factor
comK	comGB	1	TF
comZ	comGB	-1	TF
sigK	mdxF	1	sigma factor
sigE	mdxF	1	sigma factor
mdxR	mdxF	0	silico-TF+M
comK	ybdK	1	TF
sigG	adhB	1	sigma factor
sigA	resE	1	sigma factor
resD	resE	1	TF+TC
phoP	resE	1	TF+TC
ccpA	resE	-1	TF+PP+M
stringent response	dxs	-1	unk
sigA	ycbK	1	sigma factor
T-box-TRP	ycbK	1	RNA switch
TRAP	ycbK	-1	RNA-BAP
sigB	yhdF	1	sigma factor
sigA	rpmH	1	sigma factor
sigG	yxeD	1	sigma factor
sigE	yxeD	1	sigma factor
abrB	yxeD	-1	TF
spoVT	yxeD	1	TF
fur	ybbB	-1	TF+M
sigA	sacY	1	sigma factor
sacY	sacY	1	P-AT+PTS
sacT	sacY	1	P-AT+PTS
degU	sacY	1	TF+TC
sigA	gapA	1	sigma factor
cggR	gapA	-1	TF+M
sigK	cotU	1	sigma factor
gerR	cotU	1	TF
gerE	cotU	1	TF
sigA	gmuE	1	sigma factor
gmuR	gmuE	-1	TF+M
ccpA	gmuE	-1	TF+PP+M
abrB	gmuE	1	TF
sigA	kdgT	1	sigma factor
kdgR	kdgT	-1	TF+M
ccpA	kdgT	-1	TF+PP+M
sigD	fliF	1	sigma factor
sigA	fliF	1	sigma factor
spo0A	fliF	-1	TF+PP
codY	fliF	-1	TF+M
sigG	ythA	1	sigma factor
sigK	ywrK	1	sigma factor
sigK	yitA	1	sigma factor
sigA	yxeL	1	sigma factor
cymR	yxeL	-1	TF+P+M
spx	yxeL	-1	TF+S
sigF	yetF	1	sigma factor
sigA	recF	1	sigma factor
sigE	glgA	1	sigma factor
sigH	glgA	1	sigma factor
sigA	ffh	1	sigma factor
sigW	ywrE	1	sigma factor
sigA	ilvC	1	sigma factor
tnrA	ilvC	-1	TF+P+M
codY	ilvC	-1	TF+M
ccpA	ilvC	1	TF+PP+M
T-box-LEU	ilvC	1	RNA switch
sigA	tcyP	1	sigma factor
cymR	tcyP	-1	TF+P+M
sigA	rpoB	1	sigma factor
stringent response	rpoB	-1	unk
sigB	ycbP	1	sigma factor
stringent response	rpsO	-1	unk
fur	yclO	-1	TF+M
sigA	glnK	1	sigma factor
tnrA	glnK	1	TF+P+M
sigA	nasC	1	sigma factor
tnrA	nasC	1	TF+P+M
glnR	nasC	-1	TF+P+M
T-O2	nasC	1	unk
fur	fhuG	-1	TF+M
sigM	murF	1	sigma factor
padR	padC	-1	TF+M
sigE	glpK	1	sigma factor
sigA	glpK	1	sigma factor
glpP	glpK	1	P-AT+PTS
ccpA	glpK	-1	TF+PP+M
abrB	glpK	1	TF
sigA	grpE	1	sigma factor
hrcA	grpE	-1	TF+HrcA unstability
arfM	grpE	0	TF
sigA	ykuP	1	sigma factor
fur	ykuP	-1	TF+M
sigG	ywoC	1	sigma factor
ytrA	ywoC	-1	TF-M
sigA	glpT	1	sigma factor
glpP	glpT	1	P-AT+PTS
ccpA	glpT	-1	TF+PP+M
spo0A	ylmD	-1	TF+PP
sigK	ylbD	1	sigma factor
sigA	pgk	1	sigma factor
cggR	pgk	-1	TF+M
sigV	rsiV	1	sigma factor
sigM	recU	1	sigma factor
sigE	uxaA	1	sigma factor
sigA	uxaA	1	sigma factor
exuR	uxaA	-1	TF+M
ccpA	uxaA	-1	TF+PP+M
spoIIID	uxaA	-1	TF
sigW	yfhM	1	sigma factor
sigB	yfhM	1	sigma factor
spoVT	yfhM	1	TF
sigK	ytlR	1	sigma factor
sigA	hutU	1	sigma factor
hutP	hutU	1	P-AT+M
codY	hutU	-1	TF+M
ccpA	hutU	-1	TF+PP+M
comK	sbcC	1	TF
sigG	gerKA	1	sigma factor
spoVT	gerKA	-1	TF
sigA	ytmO	1	sigma factor
ytlI	ytmO	1	TF+M
cymR	ytmO	-1	TF+P+M
spx	ytmO	-1	TF+S
comK	yhbI	1	TF
abrB	csn	-1	TF
sigA	dppC	1	sigma factor
codY	dppC	-1	TF+M
abrB	dppC	-1	TF
codY	cueR	0	TF+M
sigA	adcB	1	sigma factor
zur	adcB	-1	TF+M
immR	sacV	-1	TF
mtlR	mtlF	1	TF+PTS
ccpA	mtlF	0	TF+PP+M
fur	ymcA	0	TF+M
spx	ytpR	1	TF+S
sigB	yfhE	1	sigma factor
sigG	yfhE	1	sigma factor
sigF	yfhE	1	sigma factor
sigA	tyrS	1	sigma factor
T-box-TYR	tyrS	1	RNA switch
sigG	gerAA	1	sigma factor
sigF	gerAA	1	sigma factor
spoVT	gerAA	-1	TF
sigE	yngG	1	sigma factor
spoIIID	yngG	-1	TF
ccpA	yngG	0	TF+PP+M
sigD	yfmT	1	sigma factor
sigG	ykoT	1	sigma factor
abrB	yrzI	-1	TF
spo0A	parB	-1	TF+PP
sigK	thiW	1	sigma factor
Thi-box	thiW	-1	riboswitch
comK	yhjB	1	TF
codY	yhjB	-1	TF+M
sigH	hbs	1	sigma factor
sigA	hbs	1	sigma factor
lexA	hbs	-1	TF-proteolyse
hbs	hbs	-1	TF
sigE	spmA	1	sigma factor
spoIIID	spmA	-1	TF
sigD	mcpA	1	sigma factor
abrB	mcpA	-1	TF
sigD	flgM	1	sigma factor
sigA	flgM	1	sigma factor
scoC	flgM	-1	TF
degU	flgM	1	TF+TC
comK	flgM	1	TF
sigA	ribAB	1	sigma factor
FMN-box	ribAB	-1	riboswitch
desR	desR	0	TF+TC
comK	yhjC	1	TF
codY	yhjC	-1	TF+M
lexA	polYB	-1	TF-proteolyse
sigB	yqxL	1	sigma factor
lexA	yqxL	-1	TF-proteolyse
sigA	rbsD	1	sigma factor
ccpA	rbsD	-1	TF+PP+M
abrB	rbsD	1	TF
rbsR	rbsD	0	silico-TF+M
sigM	secDF	1	sigma factor
sigW	yoaG	1	sigma factor
sigA	rbsC	1	sigma factor
ccpA	rbsC	-1	TF+PP+M
abrB	rbsC	1	TF
rbsR	rbsC	0	silico-TF+M
sigG	ycgI	1	sigma factor
sigA	narK	1	sigma factor
nsrR	narK	-1	TF+M
fnr	narK	1	TF+M
sigX	yceF	1	sigma factor
sigW	yceF	1	sigma factor
sigM	yceF	1	sigma factor
sigB	yceF	1	sigma factor
sigA	yceF	1	sigma factor
sigG	ypeB	1	sigma factor
spoVT	ypeB	-1	TF
sigG	yhdC	1	sigma factor
sigK	mccA	1	sigma factor
sigA	mccA	1	sigma factor
spx	mccA	1	TF+S
cymR	mccA	-1	TF+P+M
stringent response	rpsB	-1	unk
sigG	yitF	1	sigma factor
sigA	iolS	1	sigma factor
iolR	iolS	-1	TF+M
tnrA	ywrD	1	TF+P+M
sigW	yozO	1	sigma factor
sigL	levG	1	sigma factor
levR	levG	1	TF+PTS
ccpA	levG	-1	TF+PP+M
sigE	mmgC	1	sigma factor
ccpA	mmgC	-1	TF+PP+M
spoIIID	mmgC	-1	TF
tnrA	ywdI	-1	TF+P+M
manR	manR	1	TF+PTS
ccpA	manR	-1	TF+PP+M
sigK	spsE	1	sigma factor
resD	qcrC	1	TF+TC
abrB	qcrC	-1	TF
ccpA	qcrC	-1	TF+PP+M
sigG	yqfU	1	sigma factor
sigA	mapB	1	sigma factor
sigD	epr	1	sigma factor
sinR	epr	-1	TF
scoC	epr	-1	TF
degU	epr	1	TF+TC
sinR	ywbD	-1	TF
sknR	yqaM	-1	TF
spo0A	skfH	1	TF+PP
phoP	skfH	1	TF+TC
abrB	skfH	-1	TF
sigE	glsB	1	sigma factor
spoIIID	glsB	-1	TF
sigX	psd	1	sigma factor
sigA	psd	1	sigma factor
stringent response	rplE	-1	unk
sigA	yazB	1	sigma factor
TRAP	yazB	-1	RNA-BAP
sigA	feuC	1	sigma factor
fur	feuC	-1	TF+M
citB	feuC	1	riboswitch
btr	feuC	1	TF+M
glcR	feuC	0	silico-TF+unk
sigK	ykoY	1	sigma factor
RNA - yybP-ykoY	ykoY	0	silico-riboswitch
stringent response	rplV	-1	unk
sigH	phrI	1	sigma factor
sigA	phrI	1	sigma factor
yrkD	yrkJ	0	silico-TF+unk
sigA	ylxR	1	sigma factor
stringent response	ylxR	-1	unk
sigA	xylB	1	sigma factor
xylR	xylB	-1	TF+M
ccpA	xylB	-1	TF+PP+M
ccpB	xylB	-1	TF+unk
sigK	ypqP	1	sigma factor
sigW	yxjJ	1	sigma factor
sigB	yxjJ	1	sigma factor
degU	yxjJ	-1	TF+TC
sigB	yflT	1	sigma factor
sigM	yebC	1	sigma factor
codY	yocS	0	TF+M
preQ1 riboswitch	queE	-1	riboswitch
rhaR	yulB	0	silico-TF+M
sigX	yceG	1	sigma factor
sigW	yceG	1	sigma factor
sigM	yceG	1	sigma factor
sigB	yceG	1	sigma factor
sigA	yceG	1	sigma factor
sigK	yunC	1	sigma factor
sigK	ytvB	1	sigma factor
sigE	ytvB	1	sigma factor
stringent response	rpmJ	-1	unk
sknR	yqaH	-1	TF
sigW	yqeZ	1	sigma factor
sigA	clpQ	1	sigma factor
codY	clpQ	-1	TF+M
ccpA	lrgB	0	TF+PP+M
lytT	lrgB	0	silico-TF+TC
sigA	epsA	1	sigma factor
sigH	epsA	1	sigma factor
sinR	epsA	-1	TF
abrB	epsA	-1	TF
Gly-box	gcvT	-1	riboswitch
spoVT	gcvT	1	TF
T-box-GLY	gcvT	-1	RNA switch
codY	ycgA	-1	TF+M
sigA	yczL	1	sigma factor
zur	yczL	-1	TF+M
sigB	ywmF	1	sigma factor
sigH	dacF	1	sigma factor
sigG	dacF	1	sigma factor
sigF	dacF	1	sigma factor
abrB	dacF	-1	TF
spoVT	dacF	-1	TF
spo0A	dacF	1	TF+PP
sigH	dnaG	1	sigma factor
sigD	dnaG	1	sigma factor
sigB	dnaG	1	sigma factor
sigA	dnaG	1	sigma factor
spo0A	dnaG	-1	TF+PP
sigA	lysC	1	sigma factor
L-box-LYS	lysC	-1	riboswitch
fur	ydhU	-1	TF+M
sigA	resA	1	sigma factor
resD	resA	1	TF+TC
phoP	resA	1	TF+TC
ccpA	resA	-1	TF+PP+M
mntR	mntD	-1	TF+M
senS	scoC	1	TF
salA	scoC	-1	P
abrB	scoC	1	TF
codY	scoC	0	TF+M
degU	yvzA	1	TF+TC
abrB	yvzA	-1	TF
sigK	gerPD	1	sigma factor
gerE	gerPD	-1	TF
ccpA	ylbP	-1	TF+PP+M
sigK	spsL	1	sigma factor
sigB	yfkM	1	sigma factor
fur	yfkM	-1	TF+M
sigA	fur	1	sigma factor
perR	fur	-1	TF+S
sigK	fadM	1	sigma factor
sigA	fadM	1	sigma factor
sdpR	fadM	1	TF+P
fadR	fadM	-1	TF+M
sigA	yxeO	1	sigma factor
cymR	yxeO	-1	TF+P+M
spx	yxeO	-1	TF+S
sigA	rsmE	1	sigma factor
hrcA	rsmE	-1	TF+HrcA unstability
arfM	rsmE	0	TF
sigA	maeN	1	sigma factor
malR	maeN	1	TF+TC
sigB	csbA	1	sigma factor
sigA	csbA	1	sigma factor
codY	ywfH	-1	TF+M
sigA	xynP	1	sigma factor
xylR	xynP	-1	TF+M
ccpA	xynP	-1	TF+PP+M
sigA	nadA	1	sigma factor
nadR	nadA	-1	TF+M
sigW	ydjG	1	sigma factor
abrB	ydjG	-1	TF
ccpA	cstA	-1	TF+PP+M
sigA	metP	1	sigma factor
S-box-SAM	metP	-1	
codY	metP	1	TF+M
zur	ytiB	0	TF+M
stringent response	rplK	-1	unk
sigA	xynA	1	sigma factor
spo0A	skfB	1	TF+PP
phoP	skfB	1	TF+TC
abrB	skfB	-1	TF
sigA	gatB	1	sigma factor
T-box-GLN	gatB	1	RNA switch
codY	gatB	0	TF+M
ccpA	gatB	0	TF+PP+M
sigB	aldY	1	sigma factor
sigK	yitC	1	sigma factor
sigE	yitC	1	sigma factor
spoIIID	yitC	-1	TF
sigA	gatA	1	sigma factor
T-box-GLN	gatA	1	RNA switch
codY	gatA	0	TF+M
ccpA	gatA	0	TF+PP+M
sigK	cotD	1	sigma factor
spoIIID	cotD	-1	TF
gerE	cotD	1	TF
sigA	sul	1	sigma factor
TRAP	sul	-1	RNA-BAP
sigA	nasD	1	sigma factor
tnrA	nasD	1	TF+P+M
resD	nasD	1	TF+TC
nsrR	nasD	-1	TF+M
arfM	nasD	1	TF
fur	nasD	-1	TF+M
codY	nasD	0	TF+M
sigA	licT	1	sigma factor
ybgA	ybgA	0	TF+M
codY	ybgA	0	TF+M
hxlR	hxlB	1	TF-M-unk
sigA	yaaA	1	sigma factor
sigA	opuAA	1	sigma factor
sigA	cysL	1	sigma factor
cysL	cysL	-1	TF+M
yetL	cysL	0	TF+M
sigB	yflH	1	sigma factor
sigA	yflH	1	sigma factor
sigE	mmgB	1	sigma factor
ccpA	mmgB	-1	TF+PP+M
spoIIID	mmgB	-1	TF
sigA	asnS	1	sigma factor
sigA	hutG	1	sigma factor
hutP	hutG	1	P-AT+M
codY	hutG	-1	TF+M
ccpA	hutG	-1	TF+PP+M
sigA	kduD	1	sigma factor
kdgR	kduD	-1	TF+M
ccpA	kduD	-1	TF+PP+M
sigK	ysmB	1	sigma factor
sigE	yesK	1	sigma factor
spoIIID	yesK	1	TF
sigB	plsC	1	sigma factor
fapR	plsC	-1	TF+M
sigV	yrhK	1	sigma factor
sigK	ytdA	1	sigma factor
sigK	ykvP	1	sigma factor
comK	dprA	1	TF
sigA	fabHB	1	sigma factor
fapR	fabHB	-1	TF+M
ccpN	ykzW	-1	TF+unk
sigA	acuB	1	sigma factor
ccpA	acuB	-1	TF+PP+M
codY	acuB	0	TF+M
fur	yusU	0	TF+M
xre	xkdD	-1	TF
sigE	yteV	1	sigma factor
sigA	ytnI	1	sigma factor
ytlI	ytnI	1	TF+M
cymR	ytnI	-1	TF+P+M
spx	ytnI	-1	TF+S
sigA	fapR	1	sigma factor
fapR	fapR	-1	TF+M
comA	fapR	1	TF+TC
bsdA	ubiD	1	TF+M
sigW	yknX	1	sigma factor
abrB	yknX	-1	TF
sigA	iolH	1	sigma factor
iolR	iolH	-1	TF+M
ccpA	iolH	-1	TF+PP+M
yrkP	ykcC	1	TF+TC
yclJ	ykcC	1	TF+TC
T-box-GLY	glyQ	1	RNA switch
sigK	yndL	1	sigma factor
sigA	comQ	1	sigma factor
rhaR	yulE	0	silico-TF+M
sigX	divIC	1	sigma factor
sigW	divIC	1	sigma factor
sigM	divIC	1	sigma factor
sigE	divIC	1	sigma factor
spoIIID	divIC	-1	TF
xre	xtrA	-1	TF
sigA	ccpC	1	sigma factor
spo0A	ccpC	1	TF+PP
ccpA	ccpC	-1	TF+PP+M
ccpC	ccpC	-1	 TF+M+DNA
sigK	yisZ	1	sigma factor
sigW	yknY	1	sigma factor
abrB	yknY	-1	TF
sigI	gsiB	1	sigma factor
sigB	gsiB	1	sigma factor
sigD	motB	1	sigma factor
sigW	pbpE	1	sigma factor
abrB	pbpE	-1	TF
sigB	pth	1	sigma factor
ccpA	cimH	-1	TF+PP+M
sinR	yvfV	-1	TF
lutR	yvfV	-1	TF+M
fsrA	yvfV	-1	small regulatory RNA
T-box-LEU	leuS	1	RNA switch
sigA	ansA	1	sigma factor
ansR	ansA	-1	TF+M
stringent response	rplC	-1	unk
sigA	lonA	1	sigma factor
ctsR	lonA	-1	TF+unstability
codY	yhdH	0	TF+M
sigF	ksgA	1	sigma factor
yydK	yyzE	0	silico-TF+M
sigA	comGE	1	sigma factor
comK	comGE	1	TF
comZ	comGE	-1	TF
S-box-SAM	yoaB	-1	
abrB	ylaE	-1	TF
abh	ylaE	-1	TF
sigW	yuaF	1	sigma factor
codY	yuaF	0	TF+M
yclJ	yclI	1	TF+TC
sigA	yxeN	1	sigma factor
cymR	yxeN	-1	TF+P+M
spx	yxeN	-1	TF+S
perR	ymaB	-1	
perR	nrdE	-1	
perR	nrdF	-1	
perR	nrdI	-1	
spoVT	ykoS	-1	
spoVT	yqjB	-1	
spoVT	yqjC	-1	
spoVT	spoIIP	-1	
spoVT	ylzJ	-1	
spoVT	ykoT	-1	
sigM	clpC	1	
sigM	ywtE	1	
sigM	cysK	1	
sigM	yabM	1	
sigM	maf	1	
sigM	yabN	1	
sigM	yacD	1	
sigM	efeU	1	
sigM	yabQ	1	
sigM	yabR	1	
sigM	murG	1	
sigM	comN	1	
sigM	yngB	1	
sigM	ywzH	1	
sigM	yabO	1	
sigM	yabP	1	
sigM	mcsB	1	
sigM	radA	1	
sigM	ctsR	1	
sigM	mcsA	1	
sigM	yngA	1	
comK	minD	1	
comK	minC	1	
comK	mreC	1	
comK	csrA	1	
comK	fliW	1	
comK	mreB	1	
comK	mreD	1	
comK	yviE	1	
swrAA.1	ycdA	1	
pchR	yisI	1	
pchR	yvmC	-1	
pchR	yvmA	-1	
pchR	cypX	-1	
gerR	cotH	1	
gerR	ywrJ	1	
gerR	cotX	1	
yfiR	yfiS	-1	
yfiR	yfiR	-1	
gerE	ytcB	-1	
gerE	ylbD	1	
gerE	spsB	1	
gerE	ysnD	-1	
gerE	yfnH	1	
gerE	ykzQ	1	
gerE	cotS	1	
gerE	spsK	1	
gerE	yfnF	1	
gerE	yfnE	1	
gerE	yisY	-1	
gerE	spsF	1	
gerE	yeeK	1	
gerE	spsA	1	
gerE	lipC	1	
gerE	spsL	1	
gerE	spsE	1	
gerE	spsG	1	
gerE	yjzB	1	
gerE	spsD	1	
gerE	ytcC	-1	
gerE	ytxO	1	
gerE	yppG	1	
gerE	ylbE	1	
gerE	yhjQ	-1	
gerE	tgl	-1	
gerE	spsI	1	
gerE	cotT	-1	
gerE	spsJ	1	
gerE	ywrJ	-1	
gerE	cotSA	1	
gerE	ytcA	-1	
gerE	yfnG	1	
gerE	gerT	-1	
gerE	spsC	1	
gerE	yfnD	1	
gerE	ymaG	1	
tyrZ	tyrZ	1	
resD	nasC	1	
resD	glpK	-1	
resD	ykuN	1	
resD	ywcE	-1	
resD	ykuP	1	
resD	nasB	1	
resD	glpF	-1	
resD	ykuO	1	
resD	ndh	-1	
resD	ykoP	1	
resD	S477	1	
ganR	ganR	-1	
ganR	ganB	-1	
ganR	ganA	-1	
ganR	ganQ	-1	
ganR	ganP	-1	
ccpN	thyB	1	
